IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS
149.171.126.0,62073,59.166.0.5,56082,6,0,9672,416,11,8,25,15
149.171.126.2,32284,59.166.0.5,1526,6,0,1776,104,6,2,25,0
149.171.126.0,21,59.166.0.1,21971,6,1,1842,1236,26,22,25,1111
59.166.0.1,23800,149.171.126.0,46893,6,0,528,8824,10,12,27,124
59.166.0.5,63062,149.171.126.2,21,6,1,1786,2340,32,34,25,1459
59.166.0.5,57349,149.171.126.1,53,17,5,146,178,2,2,0,1
59.166.0.3,41660,149.171.126.7,80,6,7,690,1272,4,8,25,5
59.166.0.5,29259,149.171.126.0,25,6,3,37914,3380,54,42,27,22
59.166.0.6,1813,149.171.126.1,53,17,5,130,162,2,2,0,1
59.166.0.2,20139,149.171.126.7,80,6,7,690,1272,4,8,25,2
59.166.0.6,54026,149.171.126.5,53,17,5,146,178,2,2,0,1
59.166.0.6,48622,149.171.126.3,143,6,4,7818,15800,122,126,27,1179
59.166.0.6,1888,149.171.126.9,80,6,7,17538,1087890,328,746,27,1139
59.166.0.6,33204,149.171.126.7,53,17,5,130,162,2,2,0,0
59.166.0.7,49223,149.171.126.3,5190,6,0,1958,2308,22,24,27,7
59.166.0.0,15525,149.171.126.1,80,6,7,690,1272,4,8,25,2
59.166.0.7,4507,149.171.126.7,22,6,92,3728,5474,32,24,27,6
59.166.0.7,6616,149.171.126.9,53,17,5,146,178,2,2,0,1
59.166.0.3,39872,149.171.126.5,5190,6,0,1920,4312,22,24,27,7
59.166.0.1,60550,149.171.126.0,34044,6,0,8928,320,14,6,27,423
59.166.0.5,20850,149.171.126.2,60046,6,0,424,8824,8,12,27,456
59.166.0.1,14055,149.171.126.1,26175,17,11,544,304,4,4,0,1
59.166.0.1,12607,149.171.126.1,111,17,11,568,304,4,4,0,4
59.166.0.1,34713,149.171.126.1,35373,6,11,3936,2456,18,18,27,4
59.166.0.7,8379,149.171.126.0,25,6,3,37152,3380,52,42,27,362
59.166.0.7,34880,149.171.126.8,15052,6,36,2230,13500,34,36,27,11
59.166.0.7,34418,149.171.126.6,40633,6,36,4862,75600,84,86,27,45
59.166.0.5,21743,149.171.126.2,53706,6,0,8928,424,14,8,27,47
59.166.0.0,17689,149.171.126.3,53,17,5,146,178,2,2,0,1
175.45.176.1,43025,149.171.126.16,25,6,3,41290,2080,48,24,27,803
59.166.0.2,62984,149.171.126.1,5190,6,0,1958,2308,22,24,27,139
59.166.0.7,39068,149.171.126.7,22,6,92,12752,13202,128,124,27,582
59.166.0.6,46369,149.171.126.3,143,6,4,7814,14990,122,126,27,1438
59.166.0.0,19357,149.171.126.3,80,6,7,1580,10168,12,18,27,1005
59.166.0.7,17781,149.171.126.0,53,17,5,146,178,2,2,0,1
59.166.0.6,1397,149.171.126.8,53,17,5,146,178,2,2,0,1
59.166.0.7,1139,149.171.126.8,25,6,3,37152,3172,52,38,27,177
59.166.0.5,24796,149.171.126.5,34203,17,11,544,304,4,4,0,1
59.166.0.5,59169,149.171.126.5,111,17,11,568,304,4,4,0,4
59.166.0.5,26128,149.171.126.5,24606,6,11,3936,2456,18,18,27,4
175.45.176.3,64923,149.171.126.17,80,6,7,994,256,10,6,19,189
59.166.0.9,23706,149.171.126.1,55652,6,36,2230,13500,34,36,27,7
59.166.0.9,61333,149.171.126.9,23297,6,36,4862,75600,84,86,27,35
59.166.0.3,26283,149.171.126.7,61158,6,36,3806,54798,64,66,27,26
59.166.0.3,57644,149.171.126.6,55550,6,36,3614,45696,60,62,27,22
59.166.0.6,21517,149.171.126.4,80,6,7,1684,10168,14,18,27,1021
59.166.0.7,58091,149.171.126.8,27765,17,11,544,304,4,4,0,1
59.166.0.7,27054,149.171.126.8,111,17,11,568,304,4,4,0,4
59.166.0.6,31362,149.171.126.5,53,17,5,132,164,2,2,0,1
59.166.0.6,52900,149.171.126.1,80,6,7,1048,824,8,10,27,3
59.166.0.4,30580,149.171.126.1,56973,17,11,544,304,4,4,0,66
59.166.0.4,56885,149.171.126.1,111,17,11,568,304,4,4,0,176
59.166.0.5,48436,149.171.126.7,22,6,92,3728,5474,32,24,27,9
59.166.0.5,49597,149.171.126.6,5190,6,0,1958,2308,22,24,27,8
59.166.0.0,47007,149.171.126.9,22,6,92,3728,5474,32,24,27,7
59.166.0.7,57146,149.171.126.8,57910,6,11,4456,2976,28,28,27,504
59.166.0.2,8137,149.171.126.5,53,17,5,146,178,2,2,0,0
59.166.0.2,9941,149.171.126.4,25,6,3,37914,3380,54,42,27,55
59.166.0.6,39424,149.171.126.7,5190,6,0,2062,2308,24,24,27,6
59.166.0.4,31601,149.171.126.1,30397,6,11,4456,3080,28,30,27,574
59.166.0.1,44412,149.171.126.3,50889,17,11,544,304,4,4,0,72
59.166.0.1,6953,149.171.126.3,111,17,11,568,304,4,4,0,301
59.166.0.1,35001,149.171.126.3,53,17,5,146,178,2,2,0,1
59.166.0.3,11441,149.171.126.8,22,6,92,3728,5578,32,26,27,120
59.166.0.8,15832,149.171.126.9,36359,6,36,2230,13500,34,36,27,7
59.166.0.8,63578,149.171.126.6,37009,6,36,4966,75600,86,86,27,58
59.166.0.3,58944,149.171.126.5,5190,6,0,1958,2308,22,24,27,8
175.45.176.3,9022,149.171.126.13,111,6,11,552,336,10,8,19,678
59.166.0.9,37626,149.171.126.2,9417,17,11,544,304,4,4,0,184
59.166.0.1,9618,149.171.126.3,8394,6,11,4456,3080,28,30,27,441
59.166.0.0,1764,149.171.126.0,53,17,5,146,178,2,2,0,1
59.166.0.0,21977,149.171.126.4,25,6,3,37914,3380,54,42,27,29
59.166.0.9,14708,149.171.126.2,111,17,11,568,304,4,4,0,272
59.166.0.9,21040,149.171.126.2,17299,6,36,3806,54798,64,66,27,37
59.166.0.9,22644,149.171.126.9,64730,6,36,3718,45696,62,62,27,34
59.166.0.8,23777,149.171.126.2,53,17,5,146,178,2,2,0,1
59.166.0.6,61596,149.171.126.2,60322,6,36,3806,54798,64,66,27,43
59.166.0.6,25232,149.171.126.7,59205,6,36,3614,45696,60,62,27,38
10.40.85.10,0,192.168.241.50,0,1,81,168,0,2,0,0,0
59.166.0.9,36521,149.171.126.2,15943,6,11,4456,3080,28,30,27,378
59.166.0.1,27012,149.171.126.4,53,17,5,146,178,2,2,0,1
59.166.0.1,52095,149.171.126.6,60874,17,11,544,304,4,4,0,27
59.166.0.1,28960,149.171.126.6,111,17,11,568,304,4,4,0,56
59.166.0.9,50852,149.171.126.5,50981,6,36,2230,13500,34,36,27,10
59.166.0.1,34736,149.171.126.1,80,6,7,1684,10168,14,18,27,1010
59.166.0.9,52706,149.171.126.8,30987,6,36,4862,75600,84,86,27,60
59.166.0.5,33095,149.171.126.1,53,17,5,146,178,2,2,0,0
59.166.0.8,25526,149.171.126.6,25,6,3,37914,3484,54,44,27,556
59.166.0.2,1715,149.171.126.1,53,17,5,130,162,2,2,0,1
59.166.0.2,3524,149.171.126.0,143,6,4,7814,14990,122,126,27,38
59.166.0.1,39238,149.171.126.1,22,6,92,3728,5474,32,24,27,7
59.166.0.1,31688,149.171.126.6,30411,6,11,4456,3080,28,30,27,379
59.166.0.2,5612,149.171.126.6,53,17,5,146,178,2,2,0,1
175.45.176.3,1752,149.171.126.10,25,6,3,3022,1636,20,20,19,789
59.166.0.2,42751,149.171.126.8,53,17,5,146,178,2,2,0,1
59.166.0.6,44593,149.171.126.1,53,17,5,146,178,2,2,0,0
59.166.0.4,39869,149.171.126.9,53,17,5,130,162,2,2,0,1
59.166.0.5,2039,149.171.126.3,25,6,3,37914,3380,54,42,27,672
59.166.0.7,12538,149.171.126.7,53,17,5,146,178,2,2,0,1
59.166.0.6,1848,149.171.126.6,6881,6,37,13350,548216,232,438,27,2644
59.166.0.7,13815,149.171.126.8,53,17,5,146,178,2,2,0,1
59.166.0.3,37830,149.171.126.1,5190,6,0,2024,4312,24,24,27,29
59.166.0.6,17749,149.171.126.1,52516,6,36,2230,13500,34,36,27,9
59.166.0.8,60025,149.171.126.7,19140,17,11,544,304,4,4,0,1
59.166.0.8,20602,149.171.126.7,111,17,11,568,304,4,4,0,4
59.166.0.8,23319,149.171.126.7,21962,6,11,3936,2456,18,18,27,5
59.166.0.6,63350,149.171.126.1,36735,6,36,4862,75600,84,86,27,124
59.166.0.1,28762,149.171.126.0,25,6,3,37152,3380,52,42,27,1392
59.166.0.9,25488,149.171.126.8,5190,6,0,2024,4312,24,24,27,73
59.166.0.0,22934,149.171.126.2,53,17,5,146,178,2,2,0,0
59.166.0.6,2845,149.171.126.6,6881,6,37,24536,1094788,436,858,27,3231
59.166.0.4,41747,149.171.126.9,143,6,4,7814,14990,122,126,27,767
59.166.0.3,25145,149.171.126.7,53,17,5,130,162,2,2,0,1
59.166.0.2,44439,149.171.126.4,80,6,7,1684,10168,14,18,27,1010
59.166.0.3,61430,149.171.126.6,53,17,5,146,178,2,2,0,1
175.45.176.3,53967,149.171.126.14,111,17,11,168,0,2,0,0,0
59.166.0.6,58355,149.171.126.3,22,6,92,3728,5474,32,24,27,8
59.166.0.5,29648,149.171.126.2,53,17,5,146,178,2,2,0,0
59.166.0.8,51058,149.171.126.1,53,17,5,146,178,2,2,0,1
59.166.0.7,14308,149.171.126.3,80,6,7,1580,10168,12,18,27,1155
175.45.176.0,44386,149.171.126.15,60261,6,0,352,13858,8,16,19,634
59.166.0.6,47607,149.171.126.0,22,6,92,3728,5474,32,24,27,8
59.166.0.6,49819,149.171.126.6,6881,6,37,23808,1094788,422,858,27,3812
175.45.176.0,26904,149.171.126.15,21,6,1,1168,1656,22,22,27,1313
59.166.0.3,2355,149.171.126.9,5190,6,0,1958,2308,22,24,27,5
59.166.0.2,45247,149.171.126.8,25,6,3,37914,3484,54,44,27,1740
59.166.0.6,38034,149.171.126.7,25,6,3,37914,3484,54,44,27,1515
59.166.0.7,37107,149.171.126.1,80,6,7,1580,10168,12,18,27,1303
59.166.0.0,4106,149.171.126.9,58991,6,36,2230,13500,34,36,27,12
59.166.0.0,43684,149.171.126.7,3704,6,36,4862,75600,84,86,27,57
59.166.0.1,41203,149.171.126.0,5601,6,36,2230,13500,34,36,27,7
59.166.0.1,13972,149.171.126.5,38253,6,36,4862,75600,84,86,27,56
59.166.0.3,26821,149.171.126.3,143,6,4,7814,14990,122,126,27,868
59.166.0.0,60729,149.171.126.3,80,6,7,1580,10168,12,18,27,1006
59.166.0.9,8786,149.171.126.5,13792,6,36,3806,54798,64,66,27,40
59.166.0.9,10575,149.171.126.9,44192,6,36,3614,45696,60,62,27,34
59.166.0.6,11860,149.171.126.9,53,17,5,146,178,2,2,0,1
59.166.0.6,4590,149.171.126.6,6881,6,37,24640,1094788,438,858,27,4399
175.45.176.2,46653,149.171.126.14,111,17,11,168,0,2,0,0,0
59.166.0.6,15144,149.171.126.0,53,17,5,146,178,2,2,0,0
59.166.0.3,54891,149.171.126.1,80,6,7,1684,10168,14,18,27,1100
59.166.0.6,36338,149.171.126.1,25,6,3,37914,3380,54,42,27,34
59.166.0.1,14764,149.171.126.2,38028,6,36,2230,13500,34,36,27,11
59.166.0.1,37657,149.171.126.1,14332,6,36,4862,75600,84,86,27,56
59.166.0.5,50947,149.171.126.5,80,6,7,1684,10168,14,18,27,1070
59.166.0.2,18231,149.171.126.3,5190,6,0,1958,2308,22,24,27,6
59.166.0.5,18101,149.171.126.5,53,17,5,130,162,2,2,0,1
59.166.0.8,33278,149.171.126.8,80,6,7,1580,10168,12,18,27,1065
59.166.0.7,23062,149.171.126.0,37466,17,11,544,304,4,4,0,1
59.166.0.7,21517,149.171.126.0,111,17,11,568,304,4,4,0,4
59.166.0.7,24236,149.171.126.0,58709,6,11,3936,2456,18,18,27,5
59.166.0.6,43289,149.171.126.6,6881,6,37,24744,1094788,440,858,27,4980
59.166.0.5,21532,149.171.126.9,61959,6,36,2230,13500,34,36,27,9
59.166.0.5,23052,149.171.126.1,21136,6,36,4862,75600,84,86,27,56
59.166.0.5,39436,149.171.126.7,22,6,92,12752,13306,128,126,27,772
59.166.0.5,19570,149.171.126.0,143,6,4,7818,15800,122,126,27,299
59.166.0.5,29065,149.171.126.3,5190,6,0,1920,4312,22,24,27,88
59.166.0.3,56277,149.171.126.3,53,17,5,130,162,2,2,0,1
59.166.0.6,35059,149.171.126.1,80,6,7,1580,10168,12,18,27,1005
59.166.0.7,57273,149.171.126.4,58674,6,36,2230,13500,34,36,27,11
59.166.0.7,31201,149.171.126.6,29249,6,36,4862,75600,84,86,27,59
59.166.0.6,42128,149.171.126.6,6881,6,37,23324,1028278,414,806,27,5493
59.166.0.3,53484,149.171.126.0,31009,6,36,2230,13500,34,36,27,7
59.166.0.7,29235,149.171.126.7,5190,6,0,1920,4312,22,24,27,223
59.166.0.3,33543,149.171.126.7,31558,6,36,4862,75600,84,86,27,37
59.166.0.0,2178,149.171.126.5,52819,17,11,544,304,4,4,0,1
59.166.0.0,33465,149.171.126.5,111,17,11,568,304,4,4,0,4
59.166.0.0,49362,149.171.126.5,48072,6,11,3936,2456,18,18,27,4
59.166.0.0,4314,149.171.126.3,49197,17,11,544,304,4,4,0,1
59.166.0.0,2669,149.171.126.3,111,17,11,568,304,4,4,0,4
175.45.176.0,59706,149.171.126.19,80,6,7,740,3560,10,10,27,232
59.166.0.5,49523,149.171.126.1,53,17,5,146,178,2,2,0,1
59.166.0.5,5352,149.171.126.0,25,6,3,37152,3276,52,40,27,21
59.166.0.0,43236,149.171.126.3,4117,6,11,4040,2664,20,22,27,130
59.166.0.4,43611,149.171.126.4,43051,17,11,544,304,4,4,0,31
59.166.0.4,4391,149.171.126.4,111,17,11,568,304,4,4,0,59
59.166.0.3,57844,149.171.126.8,143,6,4,7818,15800,122,126,27,827
59.166.0.2,44093,149.171.126.5,22,6,92,12648,13098,126,122,27,50
59.166.0.9,34392,149.171.126.0,53,17,5,130,162,2,2,0,1
59.166.0.0,35148,149.171.126.8,34376,6,36,3806,54798,64,66,27,46
59.166.0.7,13792,149.171.126.6,42449,17,11,544,304,4,4,0,119
59.166.0.4,42619,149.171.126.4,5456,6,11,4456,3080,28,30,27,440
59.166.0.0,15410,149.171.126.9,13078,6,36,3614,45696,60,62,27,96
59.166.0.7,41725,149.171.126.6,111,17,11,568,304,4,4,0,237
59.166.0.4,34981,149.171.126.3,34665,6,36,2230,13500,34,36,27,73
59.166.0.7,16730,149.171.126.2,5190,6,0,1958,2308,22,24,27,5
59.166.0.4,34564,149.171.126.8,40769,6,36,4862,75600,84,86,27,151
175.45.176.3,46463,149.171.126.10,80,6,7,782,4240,10,10,27,183
59.166.0.5,21046,149.171.126.3,5190,6,0,1920,4312,22,24,27,5
59.166.0.7,15083,149.171.126.6,35115,6,11,4456,3080,28,30,27,379
59.166.0.9,17744,149.171.126.1,143,6,4,7814,14990,122,126,27,830
59.166.0.6,55483,149.171.126.9,14929,17,11,544,304,4,4,0,1
59.166.0.6,24407,149.171.126.9,111,17,11,568,304,4,4,0,4
59.166.0.9,31978,149.171.126.2,53,17,5,146,178,2,2,0,1
59.166.0.1,60238,149.171.126.9,22,6,92,3728,5474,32,24,27,405
59.166.0.9,28869,149.171.126.4,53,17,5,146,178,2,2,0,1
59.166.0.6,54394,149.171.126.9,61427,6,11,4456,3080,28,30,27,345
59.166.0.2,32685,149.171.126.4,53,17,5,130,162,2,2,0,1
59.166.0.8,18310,149.171.126.6,22,6,92,12648,13202,126,124,27,890
59.166.0.0,50054,149.171.126.8,53,17,5,130,162,2,2,0,1
59.166.0.0,42481,149.171.126.2,19732,6,0,320,1932,6,8,27,2
59.166.0.0,7769,149.171.126.2,46893,6,0,424,8824,8,12,27,4
59.166.0.0,44522,149.171.126.2,34044,6,0,8928,320,14,6,27,3
59.166.0.0,43593,149.171.126.2,21,6,1,2934,3742,52,54,27,21
59.166.0.3,3076,149.171.126.9,56279,6,47.36,2230,13500,34,36,27,8
59.166.0.3,48647,149.171.126.8,46590,6,36,4862,75600,84,86,27,35
59.166.0.4,48157,149.171.126.2,5190,6,0,1958,2308,22,24,27,6
175.45.176.2,59419,149.171.126.18,2400,6,0,2522,338,12,8,19,271
59.166.0.2,1697,149.171.126.0,143,6,4,7818,15800,122,126,27,462
59.166.0.5,7501,149.171.126.5,5190,6,0,1958,2308,22,24,27,159
59.166.0.0,37989,149.171.126.3,4413,6,36,3806,54798,64,66,27,25
59.166.0.0,41679,149.171.126.3,9867,6,36,3614,45696,60,62,27,22
59.166.0.2,16190,149.171.126.1,53,17,5,146,178,2,2,0,1
59.166.0.9,46222,149.171.126.1,80,6,7,1580,10168,12,18,27,1016
59.166.0.8,36952,149.171.126.0,11794,6,36,2230,13500,34,36,27,8
59.166.0.2,59116,149.171.126.6,22,6,92,3728,5474,32,24,27,1315
59.166.0.8,36538,149.171.126.3,34463,6,36,4862,75600,84,86,27,35
59.166.0.7,16913,149.171.126.1,16886,6,36,2230,13500,34,36,27,8
59.166.0.9,30641,149.171.126.7,80,6,7,1580,10168,12,18,27,1036
59.166.0.7,62628,149.171.126.3,35936,6,36,4862,75600,84,86,27,37
59.166.0.3,17344,149.171.126.8,53,17,5,146,178,2,2,0,1
59.166.0.3,22032,149.171.126.9,64448,17,11,544,304,4,4,0,1
59.166.0.3,64516,149.171.126.9,111,17,11,568,304,4,4,0,4
59.166.0.3,59028,149.171.126.9,21802,6,11,3936,2456,18,18,27,4
59.166.0.7,9875,149.171.126.7,22,6,92,3728,5474,32,24,27,652
59.166.0.0,65456,149.171.126.1,5190,6,0,1920,4312,22,24,27,5
59.166.0.6,59128,149.171.126.8,23023,6,36,2230,13500,34,36,27,8